gene_id,symbol
ENSG00000170458,CD14
ENSG00000177455,CD19
ENSG00000167286,CD3D
ENSG00000198851,CD3E
ENSG00000010610,CD4
ENSG00000129226,CD68
ENSG00000110848,CD69
ENSG00000105369,CD79A
ENSG00000007312,CD79B
ENSG00000153563,CD8A
ENSG00000163599,CTLA4
ENSG00000111537,IFNG
ENSG00000211898,IGHD
ENSG00000136634,IL10
ENSG00000109471,IL2
ENSG00000134460,IL2RA
ENSG00000140678,ITGAX
ENSG00000134539,KLRD1
ENSG00000156738,MS4A1
ENSG00000105374,NKG7
ENSG00000188389,PDCD1
ENSG00000232810,TNF
ENSG00000277734,TRAC
